YEAR,Aman_Area,Aman_Production,Aus_Area,Aus_Production,Boro_Area,Boro_Production,Jute_Area,Jute_Production,Potato_Area,Potato_Production,Wheat_Area,Wheat_Production
1969,765390,312720,499125,185035,178455,161180,216925,668225,38940,268925,15570,5240
1970,674300,266655,400750,145300,179600,167805,194695,686040,391005,267515,15700,5540
1971,682250,302490,406315,150285,186300,177115,192590,622465,40650,266550,15650,5265
1972,737720,275915,360745,104565,206735,211130,187440,604730,40300,259070,14650,4832
1973,726700,304915,385775,138340,205780,215770,175200,503630,40180,250920,13550,4248
1974,693315,252415,428705,154415,240985,191975,125570,343070,36860,217475,13850,4080
1975,703365,357875,414945,152100,231935,216165,95395,350630,43000,236940,12980,5367
1976,730900,316265,406025,154110,233740,224573,140460,523270,37135,218920,19220,10734
1977,711320,344075,394620,162935,238700,236439,153155,566686,42100,253945,22300,14082
1978,734595,358310,380420,160060,254850,249811,167250,628470,44215,252570,19220,10734
1979,696170,332765,376830,149470,255180,285999,167250,528470,48000,277002,22300,14082
1980,655420,337585,432070,162670,260075,323362,167250,629470,48640,287020,48810,31320
1981,652610,315175,417890,179105,283635,348092,128770,452640,48790,290870,56805,37560
1982,650250,315055,405185,181500,319215,391038,121630,424715,48815,296792,59690,46420
1983,648480,312090,428525,192720,269945,326818,116205,425560,48305,288087,59945,49680
1984,634450,301180,385010,159694,273800,329105,131390,437190,47475,258555,92890,77940
1985,621540,309690,282855,123688,241085,290765,144651,510765,45740,248270,98255,75475
1986,695215,335545,329715,143855,261495,341550,122693,429457,45500,255505,94205,51555
1987,573270,258080,283530,35201,345988,364608,111195,382680,60970,349065,91910,64080
1988,367715,148600,324355,108760,440640,474930,119975,178385,37182,247887,75720,51550
1989,430280,241600,263270,109475,482740,564625,101320,323210,39750,197120,79510,48360
1990,479930,249020,224780,89550,499730,640221,106650,385010,41345,267445,79530,50230
1991,488070,261330,188450,73170,485920,624965,104910,338860,53760,432780,76450,61290
1992,489450,266390,188450,73170,502710,609125,100750,387890,60140,467145,79740,57410
1993,457690,242210,169980,61690,487660,600549,86960,307840,65850,528360,77320,57660
1994,451350,231800,161180,55010,464590,531115,101000,359000,65850,528360,80430,59920
1995,405740,188060,14490,8120,477460,590562,79280,264790,66340,571065,84420,69240
1996,426630,243080,138610,49120,483470,609334,84390,322370,68365,582285,89640,71440
1997,393290,208110,141200,45980,497840,671218,94820,366020,68340,581285,97810,84850
1998,277420,112120,117890,37360,504440,678180,70400,242180,79665,547600,105630,88080
1999,426970,241720,123520,40990,573180,736570,60150,210530,81345,694510,102700,82530
2000,491320,392150,117280,44170,583020,809320,63190,217370,80630,833190,92760,72300
2001,502040,383320,114850,48540,585640,849220,62570,218610,80735,811225,97730,75290
2002,473940,371430,108390,42490,604270,863620,63550,218610,80235,824560,82130,62080
2003,464760,401450,107500,46340,597900,866170,58920,193850,3884,20966,8367,5935
2004,444055,290585,57420,22780,608500,938662,9605,29776,3884,20966,6549,4642
2005,430452,310173,35870,17518,597595,862236,10370,45835,4290,28087,3221,1921
2006,44170,27604,3490,1365,119520,201881,11700,45630,4360,35097,1990,1126
2007,18330,10682,1960,886,130385,257873,8670,29825,3950,33679,1895,1129
2008,39990,31825,2780,1644,126004,240292,13895,55858,6375,42224,2805,2306
2009,50121,31715,2227,1491,124904,224105,14450,63147,6322,49029,1517,710
2010,44927,28826,1607,1005,126255,250090,16137,67453,5908,45670,866,1254
2011,39280,26246,1552,1021,120156,224981,15320,58982,5183,41564,715,565
2012,47145,30640,1241,828,117168,210152,14096,57230,5228,40571,586,513
2013,39810,28302,1178,1043,116425,221080,13773,52200,,,,
